Table 9. Vegetable harvest and yield. ,,,,,
Vegetable ,Days to harvest ,Length of harvest ,Yield/100 ft ,Approximate planting/person ,
,,,,,
,,,,Fresh ,Canned/frozen 
,,,,,
Asparagus,730,60,30 lb,10-15 plants,10-15 plants
"Beans, snap—bush",45-60,14,120 lb,15-16 ft,15-20 ft
"Beans, snap—pole",60-70,30,150 lb,5-6 ft,8-10 ft
"Beans, Lima—bush",65-80,14,25 lb shelled,10-15 ft,15-20 ft
"Beans, Lima—pole",75-85,40,50 lb shelled,5-6 ft,8-10 ft
Beet,50-60,30,150 lb,5-10 ft,10-20 ft
Broccoli,60-80,40,100 lb,3-5 plants,5-6 plants
Brussels Sprouts,90-100,21,75 lb,2-5 plants,5-8 plants
Cabbage,60-90,40,150 lb,3-4 plants,5-10 plants
"Cabbage, Chinese",65-70,21,80 heads,3-10 ft,N/A
Carrot,70-80,21,100 lb,5-10 ft,10-15 ft
Cauliflower,70-90,14,100 lb,3-5 plants,8-12 plants
"Chard, Swiss",45-55,40,75 lb,3-5 plants,8-12 plants
Collard (Kale),50-80,60,100 lb,5-10 ft,5-10 ft
"Corn, sweet",70-90,10,10 dozen,10-15 ft,30-50 ft
Cucumber,50-70,30,120 lb,1-2 hills,3-5 hills
Eggplant,80-90,90,100 lb,2-3 plants,2-3 plants
Garlic,140-150,N/A,40 lb,N/A,1-5 ft
Kohlrabi,55-75,14,75 lb,3-5 ft,5-10 ft
Lettuce,40-80,21,50 lb,5-15 ft,N/A
Muskmelon/ Cantaloupe,85-100,30,100 fruits,3-5 hills,N/A
Mustard,30-40,30,100 lb,5-10 ft,10-15 ft
Okra,55-65,90,100 lb,4-6 ft,6-10 ft
Onion (bulb),80-120,N/A,100 lb,3-5 ft,30-50 ft
Onion (seed),90-120,N/A,100 lb,3-5 ft,30-50 ft
Parsley,70-90,90,30 lb,1-3 ft,1-3 ft
"Pea, English",55-90,7,20 lb,15-20 ft,40-60 ft
"Pea, Southern",60-70,30,40 lb,10-15 ft,20-50 ft
Pepper,60-90,90,60 lb,3-5 plants,3-5 plants
"Potato, Irish",75-100,N/A,100 lb,50-100 ft,N/A
"Potato, sweet",100-130,N/A,100 lb,5-10 plants,10-20 plants
Pumpkin,75-100,N/A,100 lb,1-2 hills,1-2 hills
Radish,25-40,N/A,100 bunches,3-5 ft,N/A
Spinach,40-60,40,3 bushels,5-10 ft,10-15 ft
"Squash, summer",50-60,40,150 lb,2-3 hills,2-3 hills
"Squash, winter",85-100,N/A,100 lb,1-3 hills,1-3 hills
Tomato,70-90,40,100 lb,3-5 plants,5-10 plants
"Turnip, greens",30,40,50-100 lb,5-10 ft,N/A
"Turnip, roots",30-60,30,50-100 lb,5-10 ft,5-10 ft
Watermelon,80-100,30,40 fruits,2-4 hills,N/A
